Person ID,Deposition ID,Surname,Forename,Age,Person Type,Gender,Nationality,Religion,Occupation
91,819082r105,"Row","Nicholas",0,"Mentioned","Male","Unknown","Unknown","Unknown"
92,819082r105,"Gother","stephen",0,"Victim","Male","Unknown","Unknown","Unknown"
93,819083r106,"Jones","William",63,"Deponent","Male","Unknown","Unknown","Mason"
94,819083r106,"Barry","John",0,"Confederate","Male","Unknown","Unknown","Gentleman"
95,819083r106,"Barry","James",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
96,819083r106,"mc Dooling","Dermot",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
97,819083r106,"Murphy","Tirlaugh",0,"Witness","Male","Unknown","Unknown","Unknown"
98,819083r106,"Cromwell","Lord Generall",0,"Mentioned","Male","Unknown","Unknown","Unknown"
99,815259r335,"Shurley","Thomas",0,"Deponent","Male","Unknown","Unknown","Gentleman"
100,815259r335,"Fitzpattricke","Florence",0,"Debtor","Male","Unknown","Unknown","Unknown"
101,815259r335,"o ffeland","Daniell",0,"Debtor","Unknown","Unknown","Unknown","Unknown"
102,815259r335,"FitzPatrick","Daniell",0,"Unknown","Male","Unknown","Unknown","Gentleman"
103,815259r335,"Fitzpatrick","James",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
104,815259r335,"Cashen","Morgan",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
105,815259r335,"Cashen","John",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
106,815259r335,"Cashen","Morgan",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
107,815259r335,"Fitzpatrick","John",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
108,815259r335,"Fitzpatrick","Barnaby",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
109,815259r335,"Dowgan","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
110,815259r335,"Butler","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
111,815259r335,"o Dowgan","Teige",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
112,815259r335,"Dowgan","Walter",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
113,815259r335,"Fitzpatrick","Florence",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
114,819083v107,"Browne","Robert",30,"Deponent","Male","Unknown","Unknown","Yeoman"
115,819083v107,"Barry","John",0,"Confederate","Male","Unknown","Unknown","Unknown"
116,819083v107,"Barry","James",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
117,819083v107,"Stafford","Richard",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
118,815260r336,"Syllie","George",0,"Deponent","Male","Unknown","Unknown","Carrier"
119,815260r336,"Fitzpatrick","Mrs",0,"Unknown","Female","Unknown","Unknown","Unknown"
120,815260r336,"Fitzpatricke","Florence",0,"Mentioned","Male","Unknown","Unknown","Unknown"
121,815260r336,"Nicholson","Mris",0,"Victim","Female","Unknown","Unknown","Unknown"
122,819085r108,"Power","Marcus",30,"Deponent","Male","Unknown","Unknown","Yeoman"
123,819085r108,"Devereux","Phillip",0,"Confederate","Male","Unknown","Unknown","Gentleman"
124,819085r108,"Devereux","Edward",0,"Confederate","Male","Unknown","Unknown","Unknown"
125,819085r108,"Browne","William",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
126,819085r108,"ffarrell","William",0,"Victim","Male","Unknown","Unknown","Unknown"
127,818230r200,"Peirce","James",40,"Deponent","Male","Unknown","Unknown","Gentleman"
128,818230r200,"Deuereux","walter",0,"Unknown","Male","Unknown","Unknown","Unknown"
129,818230r200,"Burdeaux","Edmond",0,"Mentioned","Male","Unknown","Unknown","Unknown"
130,818230r200,"stafford","walter",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
131,818230r200,"stafford","John",0,"Unknown","Male","Unknown","Unknown","Unknown"
132,818229v199a,"Bolger","James",40,"Deponent","Male","Unknown","Unknown","Gentleman"
133,818229v199a,"Cavanagh","Danyell",0,"Unknown","Male","Unknown","Unknown","Unknown"
134,818229v199a,"mc Dowling","Dermot",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
135,818229r198,"Jurdane","James",34,"Deponent","Male","Unknown","Unknown","Gentleman"
136,818229r198,"Cavanagh","Danyell",0,"Confederate","Male","Unknown","Unknown","Gentleman"
137,818228r197,"Peirce","James",0,"Deponent","Male","Unknown","Unknown","Gentleman"
138,818228r197,"Cheevers","George",0,"Unknown","Male","Unknown","Unknown","Captain"
139,818228r197,"Ormond","Lo:",0,"Mentioned","Male","Unknown","Unknown","Unknown"
140,819085v109,"Cheevers","John",30,"Deponent","Male","Unknown","Unknown","Gentleman"
141,819085v109,"Devereux","Phillip",0,"Confederate","Male","Unknown","Unknown","Unknown"
142,819085v109,"Devereux","Edward",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
143,819085v109,"Browne","William",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
144,818227r196,"Stafford","William",0,"Deponent","Male","Unknown","Unknown","Gentleman"
145,818227r196,"Cheeuers","George",0,"Confederate","Male","Unknown","Unknown","Esquire"
146,818227r196,"Cramwell","Lord",0,"Mentioned","Male","Unknown","Unknown","Unknown"
147,818227r196,"of Ormond","Lord",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
148,818227r196,"Cheeuers","John",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
149,818227r196,"Browne","Collonell",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
150,818227r196,"Waddington","mr",0,"Victim","Male","Unknown","Unknown","Unknown"
151,818226r195,"Stafford","Nickolas",0,"Deponent","Male","Unknown","Unknown","Esquire"
152,818226r195,"Cheeuers","Phillepe",0,"Confederate","Male","Unknown","Unknown","Unknown"
153,818226r195,"Waddingto{n}","Ralph",0,"Victim","Male","Unknown","Unknown","Unknown"
154,818224r194,"Stafford","William",39,"Deponent","Male","Unknown","Unknown","Gentleman"
155,818224r194,"Cheuers","Phillep",0,"Confederate","Male","Unknown","Unknown","Gentleman"
156,819086r110,"Stafford","William",0,"Deponent","Male","Unknown","Unknown","Gentleman"
157,819086r110,"Veale","Paule",0,"Confederate","Male","Unknown","Unknown","Merchant"
158,818223r193,"Shortall","Richard",40,"Deponent","Male","Unknown","Unknown","Gentleman"
159,815261r337,"Smith","John",0,"Deponent","Male","Unknown","Unknown","Unknown"
160,818223r193,"Chichester","Edward",0,"Unknown","Male","Unknown","Unknown","Esquire"
161,818223r193,"of Ormond","Lord",0,"Mentioned","Male","Unknown","Unknown","Unknown"
162,818223r193,"Chichester","Lord",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
163,818223r193,"Cromwell","Lord",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
164,819086r110,"Croomwell","Lord",0,"Mentioned","Male","Unknown","Unknown","Unknown"
165,815261r337,"Danell","James",0,"Unknown","Male","Unknown","Unknown","Unknown"
166,815261r337,"Dempsy","Henry",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
167,815261r337,"Demsy","Barniby",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
168,815261r337,"Dempsy","Charles",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
169,815261r337,"Doyne","Daniell",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
170,815261r337,"Cossby","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
171,815261r337,"Hederinton","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
172,815261r337,"Hosesy","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
173,815261r337,"McLoughling","John",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
174,815261r337,"Cosby Cashen","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
175,815261r337,"Duey","Edmond",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
176,815261r337,"Dollard","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
177,815261r337,"Branaugh","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
178,815261r337,"Dollin","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
179,815261r337,"Reiclon","Mortough",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
180,815261r337,"Fullane","Mortough",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
181,815261r337,"Kelly","Donnough",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
182,815261r337,"Demsy","Conn",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
183,815261r337,"Moyny","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
184,815261r337,"Fiztgarott","Garrott",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
185,818222r192,"Hooper","Peter",42,"Deponent","Male","Unknown","Unknown","Gentleman"
186,818222r192,"Lewes","James",0,"Unknown","Male","Unknown","Unknown","Gentleman"
187,815261r337,"Daly","Nicholas",0,"Mentioned","Male","Unknown","Unknown","Unknown"
188,815261r337,"Robinson","James",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
189,815261r337,"Maning","Thomas",0,"Mentioned","Unknown","Unknown","Unknown","Unknown"
190,819087r111,"Stafford","Nicholas",0,"Deponent","Male","Unknown","Unknown","Esquire"
191,819087r111,"Veale","Paule",0,"Confederate","Male","Unknown","Unknown","Unknown"
192,819087r111,"Crumwell","Lord",0,"Mentioned","Male","Unknown","Unknown","Unknown"
193,815263r338,"Smith","William",0,"Deponent","Male","Unknown","Unknown","Gentleman"
194,815263r338,"Dempshaw","Henery",0,"Mentioned","Male","Unknown","Unknown","Unknown"
195,819088r112,"Shortall","Richard",40,"Deponent","Male","Unknown","Unknown","Gentleman"
196,819088r112,"Vadicke","Dudley",0,"Confederate","Male","Unknown","Unknown","Gentleman"
197,819088r112,"Cooke","Sir Walsingham",0,"Victim","Male","Unknown","Unknown","Unknown"
198,815264r339,"Smith","Henry",0,"Deponent","Male","Unknown","Unknown","Unknown"
199,815264r339,"Dempsy","Barnaby",0,"Unknown","Male","Unknown","Unknown","Unknown"
